station_id,name,latitude,longitude,station_type,transport_type,public_transport,transport_category
2356514831,Luruper Chaussee (DESY),53.5755036,9.8895894,bus_stop,bus,platform,bus
2356990639,Flurstraße (Nord),53.5939879,9.8698426,bus_stop,bus,platform,bus
2357051714,Schützenstraße (Mitte),53.5636182,9.9285243,bus_stop,bus,platform,bus
2357051715,Schützenstraße (Mitte),53.563409,9.9289586,bus_stop,bus,platform,bus
2357051716,S Holstenstraße,53.5623623,9.9491337,bus_stop,bus,platform,bus
2357051720,U Steinstraße (Deichtorplatz),53.5488855,10.0065065,bus_stop,bus,platform,bus
2357141270,Wildacker,53.6213723,9.8883306,bus_stop,bus,platform,bus
2357141275,Baumacker,53.6206233,9.8971488,bus_stop,bus,platform,bus
2357141289,Dallbregen,53.6185495,9.8964413,bus_stop,bus,platform,bus
2357141293,Furchenacker,53.6170573,9.8971377,bus_stop,bus,platform,bus
2357141297,Schulweg,53.5746578,9.9587898,bus_stop,bus,platform,bus
2357141302,Kaiser-Friedrich-Ufer,53.5731894,9.9645319,bus_stop,bus,platform,bus
2357141307,Kaiser-Friedrich-Ufer,53.5729072,9.9652256,bus_stop,bus,platform,bus
2357141311,Grindelhof,53.5668737,9.9811152,stop_position,stop_position,stop_position,bus
2357141316,Grindelhof,53.5673178,9.9808025,stop_position,stop_position,stop_position,bus
2357141326,Bf. Dammtor,53.5612064,9.9900976,stop_position,stop_position,stop_position,bus
2357141346,A Burgwedel,53.6470964,9.9085226,bus_stop,bus,platform,bus
2357141349,A Burgwedel,53.6470686,9.9090092,bus_stop,bus,platform,bus
2357141352,Graf-Otto-Weg,53.6454264,9.9121259,bus_stop,bus,platform,bus
2357141356,Graf-Otto-Weg,53.6452862,9.9125665,bus_stop,bus,platform,bus
2357186461,Burgwedelkamp,53.6425808,9.9161314,bus_stop,bus,platform,bus
2357186462,Burgwedelkamp,53.6421293,9.9162355,bus_stop,bus,platform,bus
2357186463,Burgwedelkamp,53.6429157,9.9167154,bus_stop,bus,platform,bus
2357186464,Burgwedelkamp,53.6428518,9.9170582,bus_stop,bus,platform,bus
2357186466,Peter-Timm-Straße,53.6397351,9.9158995,bus_stop,bus,platform,bus
2357186467,Peter-Timm-Straße,53.639647,9.916027,bus_stop,bus,platform,bus
2357186468,Oldesloer Straße,53.6354066,9.9186684,bus_stop,bus,platform,bus
2357186469,Frohmestraße (Mitte),53.6324804,9.9212778,bus_stop,bus,platform,bus
2357186470,Frohmestraße (Mitte),53.6321003,9.9214536,bus_stop,bus,platform,bus
2357186471,Bindfeldweg,53.6225943,9.9415447,bus_stop,bus,platform,bus
2357186472,Bindfeldweg,53.6222351,9.9414611,bus_stop,bus,platform,bus
2357186473,Vogt-Cordes-Damm,53.6137113,9.9517731,bus_stop,bus,platform,bus
2357186474,Vogt-Cordes-Damm,53.6140209,9.9519927,bus_stop,bus,platform,bus
2357186481,Gärtnerstraße,53.5849851,9.9690209,stop_position,stop_position,stop_position,bus
2357186483,Gärtnerstraße,53.5843908,9.9702442,bus_stop,bus,platform,bus
2357186484,Eppendorfer Weg (Ost),53.5821015,9.9716928,bus_stop,bus,platform,bus
2357186485,Eppendorfer Weg (Ost),53.5818326,9.9721716,bus_stop,bus,platform,bus
2357186486,Bezirksamt Eimsbüttel,53.5713099,9.9785125,stop_position,stop_position,stop_position,bus
2357186488,Bezirksamt Eimsbüttel,53.5729134,9.9781767,stop_position,stop_position,stop_position,bus
2357231367,Hebebrandstraße,53.6074761,10.0389614,bus_stop,bus,platform,bus
2357231368,Hebebrandstraße,53.6083435,10.0370219,bus_stop,bus,platform,bus
2360179947,Maisredder,53.6272553,10.0852653,bus_stop,bus,platform,bus
2360193161,Schweriner Straße,53.6050754,10.1621526,bus_stop,bus,platform,bus
2360193162,Schweriner Straße,53.6049709,10.1622675,bus_stop,bus,platform,bus
2360193163,Prehnsweg,53.6046258,10.1753733,bus_stop,bus,platform,bus
2360193164,Prehnsweg,53.6045857,10.1739712,bus_stop,bus,platform,bus
2360193165,Hoffmannstieg,53.6031915,10.1804584,bus_stop,bus,platform,bus
2361018402,Potsdamer Straße,53.5856765,10.1482639,stop_position,stop_position,stop_position,bus
2361018424,Potsdamer Straße,53.5861654,10.1492418,stop_position,stop_position,stop_position,bus
2365194831,Dahlgrünring,53.4833414,10.0185424,bus_stop,bus,platform,bus
2365194992,Stübenhofer Wettern,53.4852632,10.0241451,bus_stop,bus,platform,bus
2366341724,U S Berliner Tor (Beim Strohhause),53.5534569,10.0241579,stop_position,stop_position,stop_position,bus
2366427220,Borgfelder Straße,53.5547934,10.0346438,stop_position,stop_position,stop_position,bus
2366427239,U Burgstraße,53.5553497,10.0430838,stop_position,stop_position,stop_position,bus
2367279033,Gammer Weg 146,53.4414498,10.2782533,bus_stop,bus,platform,bus
2367279034,Horster Damm,53.4618054,10.2725411,bus_stop,bus,platform,bus
2367279035,Horster Damm,53.462011,10.2707138,bus_stop,bus,platform,bus
2367279038,Neuengammer Hausdeich 421,53.4574267,10.2063589,bus_stop,bus,platform,bus
2367279039,Neuengammer Hausdeich 421,53.4576753,10.2060226,bus_stop,bus,platform,bus
2367279062,Horster Damm,53.4619754,10.270701,stop_position,stop_position,stop_position,bus
